description,manufacturer,correct_code,correct_desc,form,amount,dosage
"АТОРВАСТАТИН 0,04 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ/АЛСИ ФАРМА/","Алси Фарма, ЗАО",21696,аторвастатин,табл п/плен/оболоч,30,40мг
ДОППЕЛЬГЕРЦ VIP КАРДИО ОМЕГА N30 КАПС,КВАЙССЕР ФАРМА Гмбх и Ко,26947,доппельгерц vip кардио омега,,30,
"АЦИКЛОВИР-АКРИХИН 5% 5,0 МАЗЬ Д/НАРУЖ ПРИМ/ТУБА/",Акрихин ХФК АО,41018,ацикловир-акрихин,д/наруж д/мест мазь туба,1,5% 5г
"ИБУКЛИН ЮНИОР 0,1+0,125 N20 ТАБЛ ДИСПЕР Д/ДЕТЕЙ",Д-р Редди с Лабораторис Лтд,3966,ибуклин юниор дисп детск,табл,20,100мг 125мг
"ЮПЕРИО 0,05 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Новартис Фарма С.п.А./Новартис Нева ООО,48140,юперио,табл п/плен/оболоч,28,50мг
"НИКСАР 0,02 N30 ТАБЛ",ФАЕС ФАРМА С.А./А. Менарини Мэнюфекчеринг Лоджистикс энд Сервиси,44587,никсар,табл,30,20мг
ИММУНАЛ 50МЛ ФЛАК Р-Р,"Хемофарм А.Д.,/Лек д.д.",48318,иммунал /,д/вн/пр д/мест флакон раствор инд/уп,1,50мл
"ЛОЗАРТАН КАНОН 0,05 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Завод им. акад-ка В.П.Филатова ООО/Канонфарма продакшн ЗАО,46973,лозартан канон,табл п/плен/оболоч,30,50мг
"ЛИПРИМАР 0,02 N100 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Пфайзер Фармасьютикалз ЭлЭлСи/Пфайзер Мэнюфэкчурин,37810,липримар,табл п/плен/оболоч,100,20мг
"САНПРАЗ 0,04 N30 ТАБЛ КИШЕЧНОРАСТВОР П/ПЛЕН/ОБОЛОЧ",Сан Фармасьютикал Индастриз Лтд,45541,санпраз кишенорастне,табл п/плен/оболоч,30,40мг
"АЛТЕЯ СИРОП 125,0 ФЛАК /СИНТЕЗ/","Синтез АКОМПиИ,ОАО (""Синтез"" ОАО)",6645,алтей,флакон сироп,1,125г
"ДИПРОСАЛИК 30,0 МАЗЬ",Шеринг-Плау Лабо Н.В.,3538,дипросалик,мазь,1,30г
ЦИ-КЛИМ КРЕМ ДЛЯ ЛИЦА С ФИТОЭСТРОГЕНАМИ ДЛЯ ЗРЕЛОЙ КОЖИ 50МЛ,Эвалар ЗАО,15589,ци-клим д/лица,крем туба,1,50г
КОМПЛИВИТ АКТИВ БАНАНОВЫЙ Д/ДЕТ N30 ЖЕВ ТАБЛ,"Фармстандарт-Уфимский витаминный завод,ОАО",18883,компливит актив 3 до 10 /банан/,табл от выпадения волос жев банка,30,
АЛЕРАНА (ALERANA) БАЛЬЗАМ-ОПОЛАСКИВАТЕЛЬ ДЛЯ ВСЕХ ТИПОВ ВОЛОС 200МЛ,Вертекс Акционерное Общество,9423,алерана - д/,от выпадения волос ополаскиватель бальзам,1,200мл
"СЕРМИОН 0,005 N30 ТАБЛ П/О",Пфайзер Италия С.р.Л.,2515,сермион,табл п/плен/оболоч,30,5мг
"ТОРВАКАРД 0,01 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Санека Фармасьютикалс а.с.,43770,торвакард 10,табл п/плен/оболоч пак,30,10мг
АЛЕРАНА (ALERANA) ШАМПУНЬ ДЛЯ ЖИРНЫХ И КОМБИНИРОВАННЫХ ВОЛОС 250МЛ,Вертекс Акционерное Общество,17460,алерана д/жир комб,от выпадения волос инд/уп шампунь,1,250мл
"ВЕЛАКСИН 0,0375 N28 ТАБЛ",Эгис Фармацевтический завод ЗАО,12775,велаксин,табл,28,37.5мг
"ЛОКОБЕЙЗ ЛИПОКРЕМ КРЕМ 100,0",ЛЕО Фарма А/С,46351,локобейз липокрем,,1,100г
"ЭТОКСИДОЛ 0,1 N20 ТАБЛ ЖЕВАТ","Синтез АКОМПиИ,ОАО (""Синтез"" ОАО)",40725,этоксидол,табл жев,20,100мг
ДОППЕЛЬГЕРЦ ЖЕНЬШЕНЬ N60 КАПС,Драгенофарм Апотекер Пюшль ГмбХ/Квайссер Фарма ГмбХ и Ко.КГ,42524,доппельгерц женьшень,капс,60,180мг
"АСПИРИН ЭКСПРЕСС 0,5 N12 ШИП ТАБЛ",Байер Биттерфельд ГмбХ,38924,аспирин экспресс шип,табл,12,500мг
"АЦЦ 0,2 N20 ПАК 3,0 ПОР Д/Р-РА Д/ПРИЕМА ВНУТРЬ",Линдофарм ГмбХ/Салютас Фарма ГмбХ,47335,ацц,д/вн/пр д/мест д/приг д/приг сусп раствора пак,20,200мг 3г
"МИКСТУРА ОТ КАШЛЯ СУХАЯ Д/ДЕТЕЙ 1,47 ПАК/ТУЛЬСКАЯ/","Тульская фармацевтическая фабрика, ООО",32560,микстура сух кашля д/д,от выпадения волос пак,1,1.47г
"СОЛГАР КОЭНЗИМ Q-10 0,06 N30 КАПС",Solgar Vitamin and Herb,20263,солгар коэнзим q 10 бад,капс,30,60мг
"ВИПДОМЕТ 0,0125+1,0 N56 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Такеда ГмбХ/Такеда Айлэнд Лимитед,47256,випдомет,табл п/плен/оболоч,56,12.5мг 1000мг
ТРИ-РЕГОЛ N21 ТАБЛ П/О,Гедеон Рихтер ОАО,46268,три-регол,табл п/плен/оболоч,21,
АНДИПАЛ N10 ТАБЛ /ДАЛЬХИМ/,Дальхимфарм ОАО,14948,андипал,табл,10,
"ЭТАМЗИЛАТ 0,125/МЛ 2МЛ N10 АМП Р-Р В/В В/М/СКФК ЛТД",Северная Китайская Фармацевтическая Корпорация Лтд,41908,этамзилат,раствор блистер амп в/м в/в,10,12.5% 2мл
КУСАЛОЧКА РЫБИЙ ЖИР Д/ДЕТ N90 ЖЕВ КАПС,"РеалКапс, АО",20988,кусалочка рыбий жир,капс д/дет,90,500мг
УГОЛЬ БЕЛЫЙ АКТИВ N10 ТАБЛ,"ВНЕШТОРГ ФАРМА, ООО",39972,белый уголь актив,табл,10,
"ПРИСЫПКА ДЕТСКАЯ 40,0 ПОР Д/НАРУЖ ПРИМ /СИНТЕЗ/","Синтез АКОМПиИ,ОАО (""Синтез"" ОАО)",14013,присыпка детская,,1,40г
"ДОСТИНЕКС 0,0005 N2 ТАБЛ",Пфайзер Италия С.р.Л.,12189,достинекс,табл флакон,2,0.5мг
"КОРДИПИН ХЛ 0,04 N20 ТАБЛ ПРОЛОНГ ВЫСВОБ П/ПЛЕН/ОБОЛОЧ","Арена Фармасьютикалс ГмбХ/КРКА, д.д., Ново место АО",46554,кордипин xl,табл п/плен/оболоч,20,40мг
"ГРАНДАКСИН 0,05 N20 ТАБЛ",Эгис Фармацевтический завод ЗАО,615,грандаксин,табл,20,50мг
"ТЕНОРИК 0,05/0,0125 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Ипка Лабораториз Лимитед,1401,тенорик,табл п/плен/оболоч,28,"50мг 12,5мг"
ТРАВИСИЛ N16 ТАБЛ Д/РАССАС /МЯТА,Плетхико Фармасьютикалз Лтд.,43219,трависил /мята/ 10,табл пак д/рассас,16,
L-ТИРОКСИН 125 БЕРЛИН-ХЕМИ N100 ТАБЛ,Берлин-Хеми АГ,13972,l-тироксин берлин-хеми,табл,100,125мкг
"КАЛИЯ ПЕРМАНГАНАТ 3,0 ПОР Д/Р-РА ФЛАК ИНД/УП/С ЛОПАТКОЙ/",Обновление ПФК  АО,47557,калия перманганат renewal с лопат пач,д/вн/пр д/приг сусп раствора флакон,1,3г
"ВАЛИДОЛ 0,06 N16 ТАБЛ П/ЯЗЫЧ",Обновление ПФК  АО,47598,валидол подъязычн,табл,16,60мг
"ПЕРИНДОПРИЛ-СЗ 0,008 N30 ТАБЛ","Северная Звезда, ЗАО",42145,периндоприл-сз,табл,30,8мг
"ВОЛЬТАРЕН 0,1 N5 СУПП РЕКТ",Дельфарм Юнинг С.А.С.,2293,вольтарен,супп,5,100мг
РЕННИ N24 ЖЕВ ТАБЛ /АПЕЛЬСИН/,Делфарм Гайярд,15497,ренни /апельсин/,табл жев,24,
МУЛЬТИ-ТАБС МАЛЫШ МАЛИНА/КЛУБНИКА N60 ЖЕВ ТАБЛ,Пфайзер Консьюмер Мэнюфэкчуринг Италия С.Р.Л.,45298,мульти-табс малыш /малклуб/,табл д/дет жев,60,
"ИЗОКЕТ 0,00125/ДОЗА 15МЛ СПРЕЙ ДОЗ",Авара Шаннон Фармасьютикал Сервисез Лимитед/Эйсика Фармасьютикал,47860,изокет доза ст с-расп,флакон дозир спрей,1,"1,25мг 15мл"
"ФЕНИБУТ 0,25 N20 ТАБЛ /МЭЗ/","Московский эндокринный завод ,ФГУП",2833,фенибут,табл,20,250мг
СЕЛМЕВИТ N30 ТАБЛ П/О,"Фармстандарт-Уфимский витаминный завод,ОАО",4647,селмевит /пачка,табл п/плен/оболоч блистер,30,
"ОРАЛГИН СПРЕЙ ДЛЯ ПОЛОСТИ РТА 20,0","Артлайф, ООО",43165,оралгин д/полости рта,спрей,1,20г
"НО-ШПА ФОРТЕ 0,08 N24 ТАБЛ","Хиноин Завод Фармац. и Хим.продуктов, ЗАО",37601,но-шпа форте,табл,24,80мг
РЕЛАКСОЗАН N40 ТАБЛ,Эвалар ЗАО,22973,релаксозан,табл,40,0.55г
"АЗИТРОМИЦИН ФОРТЕ-OBL 0,5 N3 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Оболенское Фармацевтическое предприятие, ЗАО",40256,азитромицин форте obl,табл п/плен/оболоч инд/уп,3,500мг
"ПАРАЦЕТАМОЛ 0,5 N10 ТАБЛ",Фармстандарт-Лексредства ОАО,1236,парацетамол,табл,10,500мг
ОКУТИАРЗ Р-Р ОФТАЛЬМОЛОГ УВЛАЖН 10МЛ N1,и.ком медикал ГмбХ,42446,окутиарз офтальм,раствор,1,10мл
"МОНТАВИТ ГЕЛЬ ВАГИНАЛЬНЫЙ УВЛАЖНЯЮЩИЙ 50,0",Фармацойтише Фабрик Монтавит Гез.м.б.Х.,2220,монтавит,гель туба,1,50г
ПАНКРЕАТИН 25ЕД N60 ТАБЛ П/КИШЕЧНОРАСТВОРИМ/ОБОЛОЧ /БАНКА/,Биосинтез ПАО,20034,панкреатин полим,табл п/плен/оболоч кишечнораствор банка,60,25ед
ПИРОГЕНАЛ 100МКГ/МЛ 1МЛ N10 АМП Р-Р В/М,ФГБУ НИИЭМ им.Н.Ф.Гамалеи Минздравсоцразвития,10519,пирогенал,амп,10,0.1мг/мл
АМИНОВЕН ИНФАНТ 10% 100МЛ N10 ФЛАК Р-Р Д/ИНФ,Фрезениус Каби Австрия Гмбх,13251,аминовен инфант,флакон раствор д/инф,10,10% 100мл
ЛИНКАС 150МЛ СИРОП,Хербион Пакистан Прайвет Лимитед,43174,линкас мерн колпачок,флакон сироп,1,150мл
АЛЕРАНА (ALERANA) ШАМПУНЬ ИНТЕНСИВНОЕ ПИТАНИЕ 250МЛ,Вертекс (АО),39210,алерана интенсивное питание,шампунь,1,250мл
"ПРОСТАТИЛЕН 0,05 N10 СУПП","ЦИТОМЕД МБНПК,ЗАО",37691,простатилен,рект супп,10,50мг
"ДИНАМИКО 0,05 N1 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Плива Хрватска д.о.о.,19683,динамико,табл п/плен/оболоч,1,50мг
"МЕТИЛУРАЦИЛ 0,5 N50 ТАБЛ","Биохимик,ОАО",12603,метилурацил,табл,50,500мг
"АНГИОРУС 0,05+0,45 N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Синтез АКОМПиИ,ОАО (""Синтез"" ОАО)",48539,ангиорус,табл п/плен/оболоч,60,50мг 450мг
"ЗИ-ФАКТОР 0,5 N3 ТАБЛ П/О","Верофарм,АО",15523,зи-фактор азитромицин,табл п/плен/оболоч,3,500мг
"КРЕМ ДЕТСКИЙ 40,0 /ФУТЛЯР/ИНД/УП",Свобода ОАО,39787,крем,д/дет инд/уп туба,1,40г
"АМАРИЛ 0,003 N90 ТАБЛ",Санофи С.п.А.,38151,амарил,табл,90,3мг
"РОМАШКА 1,5 N20 Ф/ПАК/ЭВАЛАР/",Эвалар ЗАО,32016,ромашка цветки бад ф/,п/плен/оболоч,20,1.5г
ЦИТРОЛЮКС 50МЛ Р-Р,"АВЗ С-П, ООО",44148,цитролюкс,флакон раствор,1,50мл
"ФЛАВАМЕД 0,015/5МЛ 100МЛ ФЛАК Р-Р Д/ПРИЕМ ВНУТРЬ",Берлин-Хеми АГ,14090,флавамед,флакон раствор,1,100мл
ЦЕФЕКОН Н N10 СУПП РЕКТ,Нижфарм АО,6073,цефекон н,супп,10,
"СОЛОДКИ СИРОП 100,0 /ВИФИТЕХ/","Вифитех, ЗАО",22318,солодкового корня,флакон сироп,1,100г
"ДРОТАВЕРИН 0,04 N50 ТАБЛ/ОРГАНИКА","Органика, АО",12431,дротаверин,табл,50,40мг
"ЛИПАНТИЛ 200 М 0,2 N30 КАПС",Ресифарм Фонтэн,9131,липантил 200м,капс,30,200мг
"НИМЕСУЛИД 0,1 N20 ТАБЛ/ОЗОН","ОЗОН ФАРМ, ООО",48356,нимесулид,табл,20,100мг
"КЕТОНАЛ 2,5% 50,0 ГЕЛЬ",Салютас Фарма ГмбХ,16902,кетонал,д/наруж д/мест гель,1,2.5% 50г
ЛАНЦЕТЫ ONE TOUCH ULTRA SOFT N100,Лайфскан Юроп,27230,ланцеты one touch ultrasoft,,100,
ФРИДЕРМ ДЕГОТЬ ШАМПУНЬ 150МЛ,Mipharm S.p.A.,43877,фридерм деготь новая формула,шампунь,1,150мл
"ЗОЛОФТ 0,1 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Хаупт Фарма Латина С.р.Л.,42124,золофт,табл п/плен/оболоч,28,100мг
"НАТРИЯ ХЛОРИД 0,9% 500МЛ N10 Р-Р Д/ИНФ/ПЛАСТ","Гематек, ООО",17438,натрия хлорид полиэт,флакон раствор,10,0.9% 500мл
"ЛЕНДАЦИН 1,0 N10 ФЛАК ПОР Д/Р-РА В/В В/М",Сандоз ГмбХ,41758,лендацин,д/приг д/приг сусп раствора флакон в/м в/в,10,1г
"СУЛЬФОКАМФОКАИН 0,1/МЛ 2МЛ N10 АМП Р-Р Д/ИН","Фармстандарт-Уфимский витаминный завод,ОАО",6748,сульфокамфокаин,раствор для инъекций амп,10,100мг/мл 2мл
"ЭЛИДЕЛ 1% 15,0 КРЕМ",МЕДА Мануфакчуринг,43006,элидел,крем,1,1% 15г
"ЗАЛАСТА КУ-ТАБ 0,005 N28 ТАБЛ ДИСПЕРГ В ПОЛ РТА",КРКА Польска Сп.з.о.о.,21958,заласта ку- дисперг полости рта,табл,28,5мг
КОМПЛИВИТ АНТИСТРЕСС N30 ТАБЛ П/О,"Фармстандарт-Уфимский витаминный завод,ОАО",16598,компливит антистресс пачка бад,табл п/плен/оболоч,30,
"БАКЛОСАН 0,01 N50 ТАБЛ","ПОЛЬФАРМА Фармацевтический завод, АО",13068,баклосан,табл,50,10мг
ШАЛФЕЙ N20 ТАБЛ Д/РАССАС ЭВАЛАР,Эвалар ЗАО,14188,шалфей бад,табл д/рассас,20,
"ДУОТРАВ 2,5МЛ N1 ГЛ КАП ФЛАК/КАП",Алкон-Куврер Н.В. С.А.,19453,дуотрав д/,фл/кап глаз капли,1,2.5мл
"КЕНАЛОГ 40 0,04/МЛ 1МЛ N5 АМП СУСП Д/ИН/КРКА/","КРКА, д.д., Ново место, АО",7624,кеналог 40,для инъекций амп сусп,5,40мг/мл 1мл
"ИНДОМЕТАЦИН СОФАРМА 10% 40,0 МАЗЬ",Софарма АО,3730,индометацин-софарма,мазь,1,10% 40г
НЕФРОСТЕН N60 ТАБЛ П/О,Эвалар ЗАО,16894,нефростен,табл,60,250мг
"МАДОПАР 125 0,1+0,025 N100 КАПС",Рош С.п.А./Ф.Хоффманн-Ля Рош Лтд,48177,мадопар 125,капс,100,100мг 25мг
"АДВАНТАН 0,1% 15,0 МАЗЬ",Байер Хелскэр Мануфэкчуринг С.р.л.,3510,адвантан,мазь туба,1,0.1% 15г
"АМОКСИЦИЛЛИН 0,5 N20 ТАБЛ","Барнаульский завод медпрепаратов,ООО",7534,амоксициллин,табл,20,500мг
"АМБРОГЕКСАЛ 0,03 N20 ТАБЛ",Салютас Фарма ГмбХ,46478,амброгексал,табл,20,30мг
"ТЕРБИНАФИН 0,25 N30 ТАБЛ",Вертекс Акционерное Общество,46867,тербинафин,табл,30,250мг
"ЛОРИСТА 0,1 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","КРКА-РУС, ООО",47199,лориста,табл п/плен/оболоч,30,100мг
"ЭЛИЦЕЯ КУ-ТАБ 0,01 N56 ТАБЛ ДИСПЕРГ В ПОЛ РТА","КРКА, д.д., Ново место, АО",43350,элицея ку- дисперг полости рта,табл,56,10мг
"ЦИНОКАП 0,2% 58,0 АЭРОЗОЛЬ",Фармстандарт-Лексредства ОАО,17733,цинокап д/наружнбал,д/мест аэроз,1,0.2% 58г
